year;date;title;authors;n_authors;col_code;volume;start_page;end_page;base_url;filename
2010;2010-02-18;Global spatial optimization with hydrological systems simulation: application to land-use allocation and peak runoff minimization;I.-Y. Yeo and J.-M. Guldmann;2;1;14;325;338;https://hess.copernicus.org/articles/14/325/2010/;hess-14-325-2010.pdf
2010;2010-02-22;Use of satellite-derived data for characterization of snow cover and simulation of snowmelt runoff through a distributed physically based model of runoff generation;L. S. Kuchment, P. Romanov, A. N. Gelfan, and V. N. Demidov;4;2;14;339;350;https://hess.copernicus.org/articles/14/339/2010/;hess-14-339-2010.pdf
2010;2010-02-22;A contribution to understanding the turbidity behaviour in an Amazon floodplain;E. Alcântara, E. Novo, J. Stech, J. Lorenzzetti, C. Barbosa, A. Assireu, and A. Souza;7;2;14;351;364;https://hess.copernicus.org/articles/14/351/2010/;hess-14-351-2010.pdf
2010;2010-02-23;HESS Opinions On the use of laboratory experimentation: Hydrologists, bring out shovels and garden hoses and hit the dirt;M. G. Kleinhans, M. F. P. Bierkens, and M. van der Perk;3;0;14;369;382;https://hess.copernicus.org/articles/14/369/2010/;hess-14-369-2010.pdf
2010;2010-02-25;Spatial mapping of leaf area index using hyperspectral remote sensing for hydrological applications with a particular focus on canopy interception;H. H. Bulcock and G. P. W. Jewitt;2;1;14;383;392;https://hess.copernicus.org/articles/14/383/2010/;hess-14-383-2010.pdf
2010;2010-02-26;Reading the bed morphology of a mountain stream: a geomorphometric study on high-resolution topographic data;S. Trevisani, M. Cavalli, and L. Marchi;3;2;14;393;405;https://hess.copernicus.org/articles/14/393/2010/;hess-14-393-2010.pdf
2010;2010-03-05;Flood trends and variability in the Mekong river;J. M. Delgado, H. Apel, and B. Merz;3;2;14;407;418;https://hess.copernicus.org/articles/14/407/2010/;hess-14-407-2010.pdf
2010;2010-03-05;Parameterization of a coupled CO2 and H2O gas exchange model at the leaf scale of Populus euphratica;G. F. Zhu, X. Li, Y. H. Su, and C. L. Huang;4;0;14;419;431;https://hess.copernicus.org/articles/14/419/2010/;hess-14-419-2010.pdf
2010;2010-03-08;Towards understanding hydroclimatic change in Victoria, Australia – preliminary insights into the Big Dry;A. S. Kiem and D. C. Verdon-Kidd;2;1;14;433;445;https://hess.copernicus.org/articles/14/433/2010/;hess-14-433-2010.pdf
2010;2010-03-08;Selection of an appropriately simple storm runoff model;A. I. J. M. van Dijk;1;0;14;447;458;https://hess.copernicus.org/articles/14/447/2010/;hess-14-447-2010.pdf
2010;2010-03-09;Multilevel and multiscale drought reanalysis over France with the Safran-Isba-Modcou hydrometeorological suite;J.-P. Vidal, E. Martin, L. Franchistéguy, F. Habets, J.-M. Soubeyroux, M. Blanchard, and M. Baillon;7;1;14;459;478;https://hess.copernicus.org/articles/14/459/2010/;hess-14-459-2010.pdf
2010;2010-03-12;Growth of a high-elevation large inland lake, associated with climate change and permafrost degradation in Tibet;J. Liu, S. Kang, T. Gong, and A. Lu;4;0;14;481;489;https://hess.copernicus.org/articles/14/481/2010/;hess-14-481-2010.pdf
2010;2010-03-12;The Two-layer Surface Energy Balance Parameterization Scheme (TSEBPS) for estimation of land surface heat fluxes;X. Xin and Q. Liu;2;0;14;491;504;https://hess.copernicus.org/articles/14/491/2010/;hess-14-491-2010.pdf
